Date and Time,Seconds,Pressure (mmHg),Temperature (C),Level Depth To Water (mm),,,
10/09/2022 12:00,309600.001,787.759,10.749,-784.258,,,
10/09/2022 13:00,313200.001,787.681,10.749,-783.194,,,
10/09/2022 14:00,316800.001,787.681,10.749,-783.194,,,
10/09/2022 15:00,320400.001,787.876,10.749,-785.854,,,
10/09/2022 16:00,324000.001,787.446,10.749,-780.005,,,
10/09/2022 17:00,327600.001,787.407,10.749,-779.472,,,
10/09/2022 18:00,331200.001,787.251,10.749,-777.347,,,
10/09/2022 19:00,334800.001,787.563,10.749,-781.599,,,
10/09/2022 20:00,338400.001,787.65,10.801,-782.775,,,
10/09/2022 21:00,342000.001,787.641,10.749,-782.662,,,
10/09/2022 22:00,345600.001,787.845,10.801,-785.436,,,
10/09/2022 23:00,349200.001,787.524,10.749,-781.066,,,
11/09/2022 00:00,352800.001,787.407,10.749,-779.472,,,
11/09/2022 01:00,356400.001,787.603,10.749,-782.133,,,
11/09/2022 02:00,360000.001,787.094,10.749,-775.217,,,
11/09/2022 03:00,363600.001,786.743,10.749,-770.431,,,
11/09/2022 04:00,367200.001,786.743,10.749,-770.431,,,
11/09/2022 05:00,370800.001,785.922,10.749,-759.267,,,
11/09/2022 06:00,374400.001,785.922,10.749,-759.267,,,
11/09/2022 07:00,378000.001,785.805,10.749,-757.671,,,
11/09/2022 08:00,381600.001,785.805,10.749,-757.671,,,
11/09/2022 09:00,385200.001,785.61,10.749,-755.013,,,
11/09/2022 10:00,388800.001,785.532,10.749,-753.95,,,
11/09/2022 11:00,392400.001,785.102,10.749,-748.103,,,
11/09/2022 12:00,396000.001,784.828,10.749,-744.38,,,
11/09/2022 13:00,399600.001,784.164,10.749,-735.343,,,
11/09/2022 14:00,403200.001,783.852,10.749,-731.089,,,
11/09/2022 15:00,406800.001,783.266,10.749,-723.114,,,
11/09/2022 16:00,410400.001,782.797,10.749,-716.733,,,
11/09/2022 17:00,414000.001,782.063,10.801,-706.75,,,
11/09/2022 18:00,417600.001,781.859,10.749,-703.977,,,
11/09/2022 19:00,421200.001,782.992,10.749,-719.394,,,
11/09/2022 20:00,424800.001,789.995,10.801,-814.685,,,
11/09/2022 21:00,428400.001,789.799,10.801,-812.025,,,
11/09/2022 22:00,432000.001,789.752,10.749,-811.376,,,
11/09/2022 23:00,435600.001,789.018,10.801,-801.389,,,
12/09/2022 00:00,439200.001,789.213,10.801,-804.047,,,
12/09/2022 01:00,442800.001,788.353,10.801,-792.349,,,
12/09/2022 02:00,446400.001,787.962,10.801,-787.031,,,
12/09/2022 03:00,450000.001,787.65,10.801,-782.775,,,
12/09/2022 04:00,453600.001,787.806,10.801,-784.904,,,
12/09/2022 05:00,457200.001,788.345,10.749,-792.235,,,
12/09/2022 06:00,460800.001,788.119,10.801,-789.158,,,
12/09/2022 07:00,464400.001,787.876,10.749,-785.854,,,
12/09/2022 08:00,468000.001,787.845,10.801,-785.436,,,
12/09/2022 09:00,471600.001,787.993,10.749,-787.448,,,
12/09/2022 10:00,475200.001,787.524,10.749,-781.066,,,
12/09/2022 11:00,478800.001,787.376,10.801,-779.055,,,
12/09/2022 12:00,482400.001,787.368,10.749,-778.938,,,
12/09/2022 13:00,486000.001,787.493,10.801,-780.647,,,
12/09/2022 14:00,489600.001,787.251,10.749,-777.347,,,
12/09/2022 15:00,493200.001,788.197,10.801,-790.221,,,
12/09/2022 16:00,496800.001,787.923,10.801,-786.499,,,
12/09/2022 17:00,500400.001,787.259,10.801,-777.461,,,
12/09/2022 18:00,504000.001,787.22,10.801,-776.927,,,
12/09/2022 19:00,507600.001,787.064,10.801,-774.8,,,
12/09/2022 20:00,511200.001,787.064,10.801,-774.8,,,
12/09/2022 21:00,514800.001,787.533,10.801,-781.181,,,
12/09/2022 22:00,518400.001,787.329,10.749,-778.408,,,
12/09/2022 23:00,522000.001,787.611,10.801,-782.245,,,
13/09/2022 00:00,525600.001,787.29,10.749,-777.876,,,
13/09/2022 01:00,529200.001,787.181,10.801,-776.396,,,
13/09/2022 02:00,532800.001,787.173,10.749,-776.281,,,
13/09/2022 03:00,536400.001,787.103,10.801,-775.332,,,
13/09/2022 04:00,540000.001,786.712,10.801,-770.014,,,
13/09/2022 05:00,543600.001,786.907,10.801,-772.673,,,
13/09/2022 06:00,547200.001,786.517,10.801,-767.354,,,
13/09/2022 07:00,550800.001,786.282,10.801,-764.167,,,
13/09/2022 08:00,554400.001,786.126,10.801,-762.038,,,
13/09/2022 09:00,558000.001,786.243,10.801,-763.633,,,
13/09/2022 10:00,561600.001,786.4,10.801,-765.761,,,
13/09/2022 11:00,565200.001,786.204,10.801,-763.102,,,
13/09/2022 12:00,568800.001,785.766,10.749,-757.142,,,
13/09/2022 13:00,572400.001,785.571,10.749,-754.482,,,
13/09/2022 14:00,576000.001,785.384,10.801,-751.937,,,
13/09/2022 15:00,579600.001,784.985,10.749,-746.507,,,
13/09/2022 16:00,583200.001,784.72,10.801,-742.899,,,
13/09/2022 17:00,586800.001,784.672,10.749,-742.255,,,
13/09/2022 18:00,590400.001,784.446,10.801,-739.175,,,
13/09/2022 19:00,594000.001,784.368,10.801,-738.114,,,
13/09/2022 20:00,597600.001,784.094,10.801,-734.392,,,
13/09/2022 21:00,601200.001,783.977,10.801,-732.798,,,
13/09/2022 22:00,604800.001,783.821,10.801,-730.671,,,
13/09/2022 23:00,608400.001,783.469,10.801,-725.886,,,
14/09/2022 00:00,612000.001,783.196,10.801,-722.163,,,
14/09/2022 01:00,615600.001,782.766,10.801,-716.317,,,
14/09/2022 02:00,619200.001,782.61,10.801,-714.19,,,
14/09/2022 03:00,622800.001,782.298,10.801,-709.938,,,
14/09/2022 04:00,626400.001,781.751,10.801,-702.497,,,
14/09/2022 05:00,630000.001,781.868,10.801,-704.089,,,
14/09/2022 06:00,633600.001,781.555,10.801,-699.837,,,
14/09/2022 07:00,637200.001,781.321,10.801,-696.648,,,
14/09/2022 08:00,640800.001,781.516,10.801,-699.306,,,
14/09/2022 09:00,644400.001,781.36,10.801,-697.18,,,
14/09/2022 10:00,648000.001,781.477,10.801,-698.773,,,
14/09/2022 11:00,651600.001,781.516,10.801,-699.306,,,
14/09/2022 12:00,655200.001,781.634,10.801,-700.901,,,
14/09/2022 13:00,658800.001,781.555,10.801,-699.837,,,
14/09/2022 14:00,662400.001,781.321,10.801,-696.648,,,
14/09/2022 15:00,666000.001,781.477,10.801,-698.773,,,
14/09/2022 16:00,669600.001,781.282,10.801,-696.117,,,
14/09/2022 17:00,673200.001,781.008,10.801,-692.395,,,
14/09/2022 18:00,676800.001,781.204,10.801,-695.054,,,
14/09/2022 19:00,680400.001,781.399,10.801,-697.713,,,
14/09/2022 20:00,684000.001,781.634,10.801,-700.901,,,
14/09/2022 21:00,687600.001,781.907,10.801,-704.619,,,
14/09/2022 22:00,691200.001,781.868,10.801,-704.089,,,
14/09/2022 23:00,694800.001,782.18,10.801,-708.343,,,
15/09/2022 00:00,698400.001,782.454,10.801,-712.063,,,
15/09/2022 01:00,702000.001,782.337,10.801,-710.47,,,
15/09/2022 02:00,705600.001,781.985,10.801,-705.684,,,
15/09/2022 03:00,709200.001,782.102,10.801,-707.279,,,
15/09/2022 04:00,712800.001,782.219,10.801,-708.873,,,
15/09/2022 05:00,716400.001,782.102,10.801,-707.279,,,
15/09/2022 06:00,720000.001,782.18,10.801,-708.343,,,
15/09/2022 07:00,723600.001,782.415,10.801,-711.533,,,
15/09/2022 08:00,727200.001,782.696,10.853,-715.366,,,
15/09/2022 09:00,730800.001,782.923,10.801,-718.443,,,
15/09/2022 10:00,734400.001,783.352,10.801,-724.29,,,
15/09/2022 11:00,738000.001,783.469,10.801,-725.886,,,
15/09/2022 12:00,741600.001,783.391,10.801,-724.821,,,
15/09/2022 13:00,745200.001,783.391,10.801,-724.821,,,
15/09/2022 14:00,748800.001,783.196,10.801,-722.163,,,
15/09/2022 15:00,752400.001,783.243,10.853,-722.811,,,
15/09/2022 16:00,756000.001,783.243,10.853,-722.811,,,
15/09/2022 17:00,759600.001,783.087,10.853,-720.682,,,
15/09/2022 18:00,763200.001,783.305,10.749,-723.646,,,
15/09/2022 19:00,766800.001,783.196,10.801,-722.163,,,
15/09/2022 20:00,770400.001,783.4,10.853,-724.937,,,
15/09/2022 21:00,774000.001,783.313,10.801,-723.76,,,
15/09/2022 22:00,777600.001,783.321,10.853,-723.872,,,
15/09/2022 23:00,781200.001,783.509,10.801,-726.418,,,
16/09/2022 00:00,784800.001,783.478,10.853,-726,,,
16/09/2022 01:00,788400.001,783.469,10.801,-725.886,,,
16/09/2022 02:00,792000.001,783.313,10.801,-723.76,,,
16/09/2022 03:00,795600.001,783.743,10.801,-729.607,,,
16/09/2022 04:00,799200.001,784.181,10.853,-735.568,,,
16/09/2022 05:00,802800.001,784.72,10.801,-742.899,,,
16/09/2022 06:00,806400.001,784.923,10.853,-745.67,,,
16/09/2022 07:00,810000.001,784.845,10.853,-744.606,,,
16/09/2022 08:00,813600.001,785.47,10.853,-753.113,,,
16/09/2022 09:00,817200.001,785.627,10.853,-755.241,,,
16/09/2022 10:00,820800.001,785.9,10.853,-758.962,,,
16/09/2022 11:00,824400.001,786.36,10.801,-765.229,,,
16/09/2022 12:00,828000.001,786.829,10.801,-771.611,,,
16/09/2022 13:00,831600.001,787.385,10.853,-779.168,,,
16/09/2022 14:00,835200.001,787.776,10.853,-784.485,,,
16/09/2022 15:00,838800.001,787.65,10.801,-782.775,,,
16/09/2022 16:00,842400.001,787.424,10.853,-779.7,,,
16/09/2022 17:00,846000.001,787.385,10.853,-779.168,,,
16/09/2022 18:00,849600.001,787.15,10.853,-775.977,,,
16/09/2022 19:00,853200.001,786.955,10.853,-773.32,,,
16/09/2022 20:00,856800.001,787.103,10.801,-775.332,,,
16/09/2022 21:00,860400.001,787.619,10.853,-782.36,,,
16/09/2022 22:00,864000.001,787.385,10.853,-779.168,,,
16/09/2022 23:00,867600.001,787.463,10.853,-780.234,,,
17/09/2022 00:00,871200.001,787.619,10.853,-782.36,,,
17/09/2022 01:00,874800.001,787.65,10.801,-782.775,,,
17/09/2022 02:00,878400.001,787.463,10.853,-780.234,,,
17/09/2022 03:00,882000.001,787.181,10.801,-776.396,,,
17/09/2022 04:00,885600.001,787.228,10.853,-777.04,,,
17/09/2022 05:00,889200.001,787.189,10.853,-776.509,,,
17/09/2022 06:00,892800.001,787.346,10.853,-778.636,,,
17/09/2022 07:00,896400.001,786.907,10.801,-772.673,,,
17/09/2022 08:00,900000.001,787.228,10.853,-777.04,,,
17/09/2022 09:00,903600.001,787.268,10.853,-777.575,,,
17/09/2022 10:00,907200.001,787.385,10.853,-779.168,,,
17/09/2022 11:00,910800.001,787.736,10.853,-783.954,,,
17/09/2022 12:00,914400.001,787.572,10.801,-781.714,,,
17/09/2022 13:00,918000.001,787.189,10.853,-776.509,,,
17/09/2022 14:00,921600.001,786.838,10.853,-771.724,,,
17/09/2022 15:00,925200.001,786.517,10.801,-767.354,,,
17/09/2022 16:00,928800.001,786.213,10.853,-763.216,,,
17/09/2022 17:00,932400.001,785.822,10.853,-757.898,,,
17/09/2022 18:00,936000.001,785.97,10.801,-759.91,,,
17/09/2022 19:00,939600.001,786.017,10.853,-760.558,,,
17/09/2022 20:00,943200.001,785.705,10.853,-756.304,,,
17/09/2022 21:00,946800.001,786.017,10.853,-760.558,,,
17/09/2022 22:00,950400.001,785.892,10.801,-758.849,,,
17/09/2022 23:00,954000.001,785.548,10.853,-754.178,,,
18/09/2022 00:00,957600.001,785.275,10.853,-750.456,,,
18/09/2022 01:00,961200.001,784.962,10.853,-746.202,,,
18/09/2022 02:00,964800.001,784.884,10.853,-745.137,,,
18/09/2022 03:00,968400.001,784.407,10.801,-738.643,,,
18/09/2022 04:00,972000.001,784.142,10.853,-735.034,,,
18/09/2022 05:00,975600.001,784.103,10.853,-734.506,,,
18/09/2022 06:00,979200.001,784.298,10.853,-737.163,,,
18/09/2022 07:00,982800.001,784.376,10.853,-738.229,,,
18/09/2022 08:00,986400.001,784.376,10.853,-738.229,,,
18/09/2022 09:00,990000.001,784.493,10.853,-739.821,,,
18/09/2022 10:00,993600.001,784.376,10.853,-738.229,,,
18/09/2022 11:00,997200.001,784.493,10.853,-739.821,,,
18/09/2022 12:00,1000800.001,784.65,10.853,-741.948,,,
18/09/2022 13:00,1004400.001,784.493,10.853,-739.821,,,
18/09/2022 14:00,1008000.001,784.368,10.801,-738.114,,,
18/09/2022 15:00,1011600.001,784.22,10.853,-736.099,,,
18/09/2022 16:00,1015200.001,784.181,10.853,-735.568,,,
18/09/2022 17:00,1018800.001,784.025,10.853,-733.44,,,
18/09/2022 18:00,1022400.001,784.103,10.853,-734.506,,,
18/09/2022 19:00,1026000.001,784.337,10.853,-737.696,,,
18/09/2022 20:00,1029600.001,784.259,10.853,-736.631,,,
18/09/2022 21:00,1033200.001,784.493,10.853,-739.821,,,
18/09/2022 22:00,1036800.001,784.65,10.853,-741.948,,,
18/09/2022 23:00,1040400.001,784.454,10.853,-739.29,,,
19/09/2022 00:00,1044000.001,784.689,10.853,-742.48,,,
19/09/2022 01:00,1047600.001,784.923,10.853,-745.67,,,
19/09/2022 02:00,1051200.001,785.001,10.853,-746.733,,,
19/09/2022 03:00,1054800.001,785.08,10.853,-747.798,,,
19/09/2022 04:00,1058400.001,784.962,10.853,-746.202,,,
19/09/2022 05:00,1062000.001,785.08,10.853,-747.798,,,
19/09/2022 06:00,1065600.001,785.314,10.853,-750.986,,,
19/09/2022 07:00,1069200.001,785.158,10.853,-748.86,,,
19/09/2022 08:00,1072800.001,785.392,10.853,-752.051,,,
19/09/2022 09:00,1076400.001,785.579,10.801,-754.597,,,
19/09/2022 10:00,1080000.001,786.095,10.853,-761.621,,,
19/09/2022 11:00,1083600.001,786.134,10.853,-762.152,,,
19/09/2022 12:00,1087200.001,786.252,10.853,-763.747,,,
19/09/2022 13:00,1090800.001,786.204,10.801,-763.102,,,
19/09/2022 14:00,1094400.001,786.056,10.853,-761.09,,,
19/09/2022 15:00,1098000.001,785.861,10.853,-758.431,,,
19/09/2022 16:00,1101600.001,785.666,10.853,-755.772,,,
19/09/2022 17:00,1105200.001,785.509,10.853,-753.647,,,
19/09/2022 18:00,1108800.001,785.852,10.801,-758.316,,,
19/09/2022 19:00,1112400.001,785.783,10.853,-757.368,,,
19/09/2022 20:00,1116000.001,785.783,10.853,-757.368,,,
19/09/2022 21:00,1119600.001,785.627,10.853,-755.241,,,
19/09/2022 22:00,1123200.001,785.392,10.853,-752.051,,,
19/09/2022 23:00,1126800.001,785.705,10.853,-756.304,,,
20/09/2022 00:00,1130400.001,785.666,10.853,-755.772,,,
20/09/2022 01:00,1134000.001,785.588,10.853,-754.711,,,
20/09/2022 02:00,1137600.001,785.822,10.853,-757.898,,,
20/09/2022 03:00,1141200.001,785.548,10.853,-754.178,,,
20/09/2022 04:00,1144800.001,785.267,10.801,-750.342,,,
20/09/2022 05:00,1148400.001,785.314,10.853,-750.986,,,
20/09/2022 06:00,1152000.001,785.275,10.853,-750.456,,,
20/09/2022 07:00,1155600.001,785.588,10.853,-754.711,,,
20/09/2022 08:00,1159200.001,785.314,10.853,-750.986,,,
20/09/2022 09:00,1162800.001,785.54,10.801,-754.063,,,
20/09/2022 10:00,1166400.001,785.783,10.853,-757.368,,,
20/09/2022 11:00,1170000.001,785.939,10.853,-759.494,,,
20/09/2022 12:00,1173600.001,785.939,10.853,-759.494,,,
20/09/2022 13:00,1177200.001,785.627,10.853,-755.241,,,
20/09/2022 14:00,1180800.001,785.627,10.853,-755.241,,,
20/09/2022 15:00,1184400.001,785.275,10.853,-750.456,,,
20/09/2022 16:00,1188000.001,784.845,10.853,-744.606,,,
20/09/2022 17:00,1191600.001,784.759,10.801,-743.429,,,
20/09/2022 18:00,1195200.001,784.806,10.853,-744.077,,,
20/09/2022 19:00,1198800.001,784.923,10.853,-745.67,,,
20/09/2022 20:00,1202400.001,784.767,10.853,-743.543,,,
20/09/2022 21:00,1206000.001,784.767,10.853,-743.543,,,
20/09/2022 22:00,1209600.001,784.923,10.853,-745.67,,,
20/09/2022 23:00,1213200.001,784.915,10.801,-745.557,,,
21/09/2022 00:00,1216800.001,784.728,10.853,-743.012,,,
21/09/2022 01:00,1220400.001,784.563,10.801,-740.771,,,
21/09/2022 02:00,1224000.001,784.064,10.853,-733.975,,,
21/09/2022 03:00,1227600.001,784.025,10.853,-733.44,,,
21/09/2022 04:00,1231200.001,783.938,10.801,-732.264,,,
21/09/2022 05:00,1234800.001,783.673,10.853,-728.657,,,
21/09/2022 06:00,1238400.001,783.626,10.801,-728.012,,,
21/09/2022 07:00,1242000.001,783.478,10.853,-726,,,
21/09/2022 08:00,1245600.001,783.751,10.853,-729.719,,,
21/09/2022 09:00,1249200.001,783.4,10.853,-724.937,,,
21/09/2022 10:00,1252800.001,783.352,10.801,-724.29,,,
21/09/2022 11:00,1256400.001,783.313,10.801,-723.76,,,
21/09/2022 12:00,1260000.001,783.009,10.853,-719.62,,,
21/09/2022 13:00,1263600.001,782.892,10.853,-718.025,,,
21/09/2022 14:00,1267200.001,782.775,10.853,-716.431,,,
21/09/2022 15:00,1270800.001,782.18,10.801,-708.343,,,
21/09/2022 16:00,1274400.001,781.672,10.801,-701.432,,,
21/09/2022 17:00,1278000.001,781.29,10.853,-696.23,,,
21/09/2022 18:00,1281600.001,781.056,10.853,-693.038,,,
21/09/2022 19:00,1285200.001,780.891,10.801,-690.802,,,
21/09/2022 20:00,1288800.001,780.54,10.801,-686.02,,,
21/09/2022 21:00,1292400.001,780.462,10.801,-684.954,,,
21/09/2022 22:00,1296000.001,780.344,10.801,-683.358,,,
21/09/2022 23:00,1299600.001,779.767,10.853,-675.501,,,
22/09/2022 00:00,1303200.001,779.407,10.801,-670.604,,,
22/09/2022 01:00,1306800.001,779.056,10.801,-665.819,,,
22/09/2022 02:00,1310400.001,778.626,10.801,-659.972,,,
22/09/2022 03:00,1314000.001,778.283,10.853,-655.304,,,
22/09/2022 04:00,1317600.001,778.001,10.801,-651.47,,,
22/09/2022 05:00,1321200.001,777.415,10.801,-643.499,,,
22/09/2022 06:00,1324800.001,777.259,10.801,-641.373,,,
22/09/2022 07:00,1328400.001,777.571,10.801,-645.623,,,
22/09/2022 08:00,1332000.001,777.181,10.801,-640.309,,,
22/09/2022 09:00,1335600.001,776.83,10.801,-635.525,,,
22/09/2022 10:00,1339200.001,777.025,10.801,-638.185,,,
22/09/2022 11:00,1342800.001,776.751,10.801,-634.463,,,
22/09/2022 12:00,1346400.001,776.869,10.801,-636.059,,,
22/09/2022 13:00,1350000.001,777.025,10.801,-638.185,,,
22/09/2022 14:00,1353600.001,777.376,10.801,-642.966,,,
22/09/2022 15:00,1357200.001,778.86,10.801,-663.163,,,
22/09/2022 16:00,1360800.001,785.423,10.801,-752.469,,,
22/09/2022 17:00,1364400.001,789.799,10.801,-812.025,,,
22/09/2022 18:00,1368000.001,790.229,10.801,-817.876,,,
22/09/2022 19:00,1371600.001,790.229,10.801,-817.876,,,
22/09/2022 20:00,1375200.001,790.542,10.801,-822.13,,,
22/09/2022 21:00,1378800.001,790.542,10.801,-822.13,,,
22/09/2022 22:00,1382400.001,790.502,10.801,-821.596,,,
22/09/2022 23:00,1386000.001,790.276,10.853,-818.521,,,
23/09/2022 00:00,1389600.001,790.698,10.801,-824.257,,,
23/09/2022 01:00,1393200.001,790.542,10.801,-822.13,,,
23/09/2022 02:00,1396800.001,790.511,10.853,-821.711,,,
23/09/2022 03:00,1400400.001,790.268,10.801,-818.407,,,
23/09/2022 04:00,1404000.001,790.346,10.801,-819.47,,,
23/09/2022 05:00,1407600.001,790.19,10.801,-817.343,,,
23/09/2022 06:00,1411200.001,789.955,10.801,-814.152,,,
23/09/2022 07:00,1414800.001,790.229,10.801,-817.876,,,
23/09/2022 08:00,1418400.001,789.995,10.801,-814.685,,,
23/09/2022 09:00,1422000.001,790.385,10.801,-820.001,,,
23/09/2022 10:00,1425600.001,790.542,10.801,-822.13,,,
23/09/2022 11:00,1429200.001,790.151,10.801,-816.812,,,
23/09/2022 12:00,1432800.001,790.268,10.801,-818.407,,,
23/09/2022 13:00,1436400.001,789.916,10.801,-813.619,,,
23/09/2022 14:00,1440000.001,789.955,10.801,-814.152,,,
23/09/2022 15:00,1443600.001,789.595,10.749,-809.25,,,
23/09/2022 16:00,1447200.001,789.174,10.801,-803.516,,,
23/09/2022 17:00,1450800.001,788.939,10.801,-800.325,,,
23/09/2022 18:00,1454400.001,788.978,10.801,-800.856,,,
23/09/2022 19:00,1458000.001,788.939,10.801,-800.325,,,
23/09/2022 20:00,1461600.001,789.174,10.801,-803.516,,,
23/09/2022 21:00,1465200.001,789.135,10.801,-802.986,,,
23/09/2022 22:00,1468800.001,789.174,10.801,-803.516,,,
23/09/2022 23:00,1472400.001,789.213,10.801,-804.047,,,
24/09/2022 00:00,1476000.001,789.018,10.801,-801.389,,,
24/09/2022 01:00,1479600.001,788.775,10.749,-798.083,,,
24/09/2022 02:00,1483200.001,788.9,10.801,-799.793,,,
24/09/2022 03:00,1486800.001,788.431,10.801,-793.412,,,
24/09/2022 04:00,1490400.001,788.158,10.801,-789.688,,,
24/09/2022 05:00,1494000.001,788.314,10.801,-791.818,,,
24/09/2022 06:00,1497600.001,788.51,10.801,-794.477,,,
24/09/2022 07:00,1501200.001,788.306,10.749,-791.704,,,
24/09/2022 08:00,1504800.001,788.822,10.801,-798.728,,,
24/09/2022 09:00,1508400.001,789.174,10.801,-803.516,,,
24/09/2022 10:00,1512000.001,789.408,10.801,-806.708,,,
24/09/2022 11:00,1515600.001,789.634,10.749,-809.783,,,
24/09/2022 12:00,1519200.001,789.361,10.749,-806.061,,,
24/09/2022 13:00,1522800.001,789.595,10.749,-809.25,,,
24/09/2022 14:00,1526400.001,789.487,10.801,-807.771,,,
24/09/2022 15:00,1530000.001,789.439,10.749,-807.124,,,
24/09/2022 16:00,1533600.001,789.565,10.801,-808.835,,,
24/09/2022 17:00,1537200.001,789.291,10.801,-805.111,,,
24/09/2022 18:00,1540800.001,789.908,10.749,-813.506,,,
24/09/2022 19:00,1544400.001,790.229,10.801,-817.876,,,
